CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,Actual,Churn Probability,Risk Level
8098-TDCBU,1,United States,California,North Fork,93643,"37.244307, -119.470256",37.244307,-119.470256,Female,No,Yes,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,25.25,1108.2,No,0,53,3052,No churn,0,0.0008553816452827362,Low
9388-ZEYVT,1,United States,California,Gardena,90247,"33.890853, -118.297967",33.890853,-118.297967,Male,No,No,No,43,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,One year,No,Electronic check,44.15,1931.3,No,0,42,2522,No churn,0,0.001964948530651109,Low
1818-ESQMW,1,United States,California,San Joaquin,93660,"36.600193, -120.153393",36.600193,-120.153393,Female,No,No,No,27,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.2,2383.6,No,0,54,4384,No churn,0,0.004791372746160234,Low
7941-RCJOW,1,United States,California,Tehama,96090,"40.021787, -122.127576",40.021787,-122.127576,Male,No,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.55,1218.65,No,0,76,4309,No churn,0,0.0003160888384414773,Low
2065-MMKGR,1,United States,California,Diamond Springs,95619,"38.683605, -120.811852",38.683605,-120.811852,Female,No,No,No,29,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),71.0,2080.1,No,0,32,4226,No churn,0,0.0031882836504666945,Low
7321-KKSDU,1,United States,California,San Marino,91108,"34.122671, -118.112911",34.122671,-118.112911,Male,No,No,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.5,696.8,No,0,50,3114,No churn,0,0.0004275675532654697,Low
9153-BTBVV,1,United States,California,San Francisco,94121,"37.776718, -122.495781",37.776718,-122.495781,Female,No,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.0,1753.0,No,0,79,4066,No churn,0,0.0002697045194482797,Low
1178-PZGAB,1,United States,California,Sun City,92585,"33.739412, -117.173334",33.739412,-117.173334,Female,No,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.25,383.65,No,0,78,5586,No churn,0,0.0013662248910540971,Low
8383-SGHJU,1,United States,California,Lake Arrowhead,92352,"34.2565, -117.19335",34.2565,-117.19335,Female,No,No,No,33,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,59.4,1952.8,No,0,38,2853,No churn,0,0.0018123524271496108,Low
0378-TOVMS,1,United States,California,Vernalis,95385,"37.609095, -121.263381",37.609095,-121.263381,Female,No,No,No,3,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,85.8,272.2,Yes,1,89,5641,Extra data charges,1,0.9954381388655495,High
9442-JTWDL,1,United States,California,Heber,92249,"32.730583, -115.501083",32.730583,-115.501083,Female,No,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.05,237.7,No,0,48,5355,No churn,0,0.0017638256605499527,Low
5378-IKEEG,1,United States,California,Eagleville,96110,"41.280341, -120.150381",41.280341,-120.150381,Female,No,No,No,1,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,35.75,35.75,Yes,1,70,3351,Price too high,1,0.9966800382092493,High
9904-EHEVJ,1,United States,California,Bethel Island,94511,"38.050558, -121.646924",38.050558,-121.646924,Female,Yes,Yes,Yes,32,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,91.35,2896.55,No,0,35,2965,No churn,0,0.0028451959933112007,Low
8510-TMWYB,1,United States,California,Sacramento,95814,"38.584505, -121.491956",38.584505,-121.491956,Female,No,Yes,Yes,54,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),59.8,3246.45,No,0,24,5898,No churn,0,0.0006596574240120998,Low
5275-PMFUT,1,United States,California,Chualar,93925,"36.596271, -121.442274",36.596271,-121.442274,Male,No,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),64.8,4719.75,No,0,72,4036,No churn,0,0.00082274181323026,Low
4524-QCSSM,1,United States,California,Encino,91436,"34.152875, -118.486056",34.152875,-118.486056,Male,No,No,No,26,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),44.65,1156.55,No,0,33,4512,No churn,0,0.0030886323270821734,Low
7799-LGRDP,1,United States,California,Lakewood,90713,"33.847755, -118.112532",33.847755,-118.112532,Female,No,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.7,1188.2,No,0,79,2017,No churn,0,0.0007146396935743218,Low
9412-GHEEC,1,United States,California,Murrieta,92563,"33.581045, -117.14719",33.581045,-117.14719,Male,No,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),104.8,4131.95,Yes,1,88,3492,Service dissatisfaction,1,0.9910588054450832,High
5329-KRDTM,1,United States,California,Long Barn,95335,"38.109125, -120.078597",38.109125,-120.078597,Male,Yes,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),77.35,5396.25,No,0,29,6202,No churn,0,0.0008139446747559019,Low
6380-ARCEH,1,United States,California,Inglewood,90304,"33.936827, -118.359824",33.936827,-118.359824,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,0,77,2710,No churn,0,0.0028925330370743814,Low
