sku,salesdate,price,unitsordered,sales,cogs,fba,reffee,adspend,profit,comp_1_price,comp_2_price,comp_3_price,comp_4_price,comp_5_price,comp_data_min_price,comp_data_max_price,managed_fba_stock_level,min_price,max_price
Binder Dividers SKU 1,1/1/2022,19.99,14,280,59,92,42,0,87,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/2/2022,19.99,20,400,84,132,60,0,124,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/3/2022,19.99,40,800,168,264,120,0,248,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/4/2022,19.89,47,935,198,310,140,0,287,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/5/2022,19.79,74,1464,312,488,220,0,444,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/6/2022,19.69,68,1339,286,449,201,0,403,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/7/2022,19.89,60,1193,253,396,179,0,365,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/8/2022,19.89,33,656,139,218,98,0,201,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/9/2022,19.99,34,680,143,224,102,0,211,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/10/2022,19.79,70,1385,295,462,208,0,420,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/11/2022,20.49,53,1086,223,350,163,0,350,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/12/2022,20.49,71,1455,299,469,218,0,469,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/13/2022,20.79,51,1060,215,337,159,0,349,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/14/2022,20.69,49,1014,206,323,152,0,333,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/15/2022,20.99,30,630,126,198,94,0,212,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/16/2022,20.89,29,606,122,191,91,0,202,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/17/2022,20.89,37,773,156,244,116,0,257,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/18/2022,20.79,63,1310,265,416,196,0,433,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/19/2022,20.79,70,1455,295,462,218,0,480,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/20/2022,19.89,82,1631,345,541,245,0,500,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/21/2022,20.89,45,940,189,297,141,0,313,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/22/2022,20.79,24,499,101,158,75,0,165,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/23/2022,20.89,13,272,55,86,41,0,90,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/24/2022,20.69,82,1697,345,541,255,0,556,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/25/2022,20.89,69,1441,290,455,216,0,480,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/26/2022,20.89,54,1128,227,356,169,0,376,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/27/2022,20.69,52,1076,219,343,161,0,353,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/28/2022,20.79,50,1040,210,330,156,0,344,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/29/2022,20.99,17,357,72,112,54,0,119,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/30/2022,19.69,16,315,67,106,47,0,95,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,1/31/2022,20.89,43,898,181,284,135,0,298,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/1/2022,20.79,51,1060,215,337,159,0,349,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/2/2022,20.69,50,1034,210,330,155,0,339,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/3/2022,20.89,62,1295,261,409,194,0,431,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/4/2022,20.89,45,940,189,297,141,0,313,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/5/2022,20.89,17,355,72,112,53,0,118,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/6/2022,20.99,10,210,42,66,32,0,70,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/7/2022,20.69,56,1159,236,370,174,0,379,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/8/2022,20.19,66,1333,278,436,200,0,419,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/9/2022,19.69,64,1260,269,422,189,0,380,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/10/2022,19.89,47,935,198,310,140,0,287,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/11/2022,18.69,63,1177,265,416,177,0,319,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/12/2022,19.99,20,400,84,132,60,0,124,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/13/2022,19.99,16,320,67,106,48,0,99,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/14/2022,19.89,56,1114,236,370,167,0,341,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/15/2022,20.09,58,1165,244,383,175,0,363,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/16/2022,20.59,76,1565,320,502,235,0,508,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/17/2022,20.79,55,1143,232,363,171,0,377,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/18/2022,20.89,51,1065,215,337,160,0,353,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/19/2022,22.19,19,422,80,125,63,0,154,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/20/2022,21.99,20,440,84,132,66,0,158,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/21/2022,21.29,48,1022,202,317,153,0,350,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/22/2022,20.69,62,1283,261,409,192,0,421,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/23/2022,19.69,69,1359,290,455,204,0,410,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/24/2022,19.79,79,1563,333,521,234,0,475,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/25/2022,19.49,59,1150,248,389,172,0,341,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/26/2022,19.69,20,394,84,132,59,0,119,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,2/27/2022,20.49,27,553,114,178,83,0,178,20.98,,,,,20.98,20.98,,15.99,22.99
