title,avg_rating,rating_count,genres
'71 (2014),4.0,1,Action|Drama|Thriller|War
'Hellboy': The Seeds of Creation (2004),4.0,1,Action|Adventure|Comedy|Documentary|Fantasy
'Round Midnight (1986),3.5,2,Drama|Musical
'Salem's Lot (2004),5.0,1,Drama|Horror|Mystery|Thriller
'Til There Was You (1997),4.0,2,Drama|Romance
'Tis the Season for Love (2015),1.5,1,Romance
"'burbs, The (1989)",3.176470588235294,17,Comedy
'night Mother (1986),3.0,1,Drama
(500) Days of Summer (2009),3.6666666666666665,42,Comedy|Drama|Romance
*batteries not included (1987),3.2857142857142856,7,Children|Comedy|Fantasy|Sci-Fi
...All the Marbles (1981),2.0,1,Comedy|Drama
...And Justice for All (1979),3.1666666666666665,3,Drama|Thriller
00 Schneider - Jagd auf Nihil Baxter (1994),4.5,1,Comedy|Crime
1-900 (06) (1994),4.0,1,Drama|Romance
10 (1979),3.375,4,Comedy|Romance
10 Cent Pistol (2015),1.25,2,Crime|Thriller
10 Cloverfield Lane (2016),3.6785714285714284,14,Thriller
10 Items or Less (2006),2.6666666666666665,3,Comedy|Drama|Romance
10 Things I Hate About You (1999),3.5277777777777777,54,Comedy|Romance
10 Years (2011),3.5,1,Comedy|Drama|Romance
"10,000 BC (2008)",2.7058823529411766,17,Adventure|Romance|Thriller
100 Girls (2000),3.25,4,Comedy|Romance
100 Streets (2016),2.5,1,Drama
101 Dalmatians (1996),3.074468085106383,47,Adventure|Children|Comedy
101 Dalmatians (One Hundred and One Dalmatians) (1961),3.4318181818181817,44,Adventure|Animation|Children
101 Dalmatians II: Patch's London Adventure (2003),2.5,1,Animation|Children
101 Reykjavik (101 Reykjavík) (2000),3.5,1,Comedy|Drama|Romance
102 Dalmatians (2000),2.7777777777777777,9,Children|Comedy
10th & Wolf (2006),4.5,1,Crime|Drama|Thriller
"10th Kingdom, The (2000)",2.75,2,Adventure|Comedy|Fantasy
"10th Victim, The (La decima vittima) (1965)",4.0,1,Action|Comedy|Sci-Fi|Thriller
"11'09""01 - September 11 (2002)",4.0,2,Drama
11:14 (2003),3.75,4,Comedy|Crime|Drama|Mystery|Thriller
"11th Hour, The (2007)",4.0,1,Documentary
12 Angry Men (1957),4.149122807017544,57,Drama
12 Angry Men (1997),5.0,1,Crime|Drama
12 Chairs (1971),4.5,1,Adventure|Comedy
12 Chairs (1976),5.0,1,Adventure|Comedy
12 Rounds (2009),3.0,3,Action|Thriller
12 Years a Slave (2013),3.625,16,Drama
127 Hours (2010),3.8333333333333335,18,Adventure|Drama|Thriller
13 Assassins (Jûsan-nin no shikaku) (2010),4.0,4,Action
13 Ghosts (1960),3.125,4,Horror
13 Going on 30 (2004),3.1904761904761907,21,Comedy|Fantasy|Romance
13 Hours (2016),3.3,5,Drama
13 Sins (2014),3.5,1,Horror|Thriller
13 Tzameti (2005),4.5,1,Film-Noir|Thriller
13th (2016),4.5,2,Documentary
"13th Warrior, The (1999)",2.9038461538461537,26,Action|Adventure|Fantasy
1408 (2007),3.16,25,Drama|Horror|Thriller
1492: Conquest of Paradise (1992),2.5,1,Adventure|Drama
15 Minutes (2001),3.0,10,Thriller
16 Blocks (2006),3.0,9,Crime|Thriller
17 Again (2009),3.55,10,Comedy|Drama
1776 (1972),3.5,2,Children|Drama|Musical
18 Again! (1988),1.5,2,Comedy|Fantasy
187 (One Eight Seven) (1997),2.6666666666666665,3,Drama|Thriller
1900 (Novecento) (1976),4.5,1,Drama|War
1941 (1979),2.6666666666666665,3,Comedy|War
1969 (1988),2.0,1,Drama|War
1984 (Nineteen Eighty-Four) (1984),3.7142857142857144,14,Drama|Sci-Fi
2 Days in New York (2012),2.5,1,Comedy
2 Days in Paris (2007),3.5,1,Comedy|Drama|Romance
2 Days in the Valley (1996),3.0416666666666665,12,Crime|Film-Noir
"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",2.6052631578947367,19,Action|Crime|Thriller
2 Guns (2013),4.0,3,Action|Comedy|Crime
20 Dates (1998),3.0,7,Comedy|Romance
20 Feet from Stardom (Twenty Feet from Stardom) (2013),4.25,2,Documentary
20 Million Miles to Earth (1957),5.0,1,Sci-Fi
"20,000 Days on Earth (2014)",4.0,1,Documentary|Drama|Musical
"20,000 Leagues Under the Sea (1916)",3.75,2,Action|Adventure|Sci-Fi
"20,000 Leagues Under the Sea (1954)",3.4705882352941178,17,Adventure|Drama|Sci-Fi
200 Cigarettes (1999),3.1666666666666665,6,Comedy|Drama
2001 Maniacs (2005),3.25,2,Comedy|Horror
2001: A Space Odyssey (1968),3.8944954128440368,109,Adventure|Drama|Sci-Fi
2010: The Year We Make Contact (1984),3.588235294117647,17,Sci-Fi
2012 (2009),2.619047619047619,21,Action|Drama|Sci-Fi|Thriller
2046 (2004),4.071428571428571,7,Drama|Fantasy|Romance|Sci-Fi
2048: Nowhere to Run (2017),3.5,1,Sci-Fi|Thriller
21 (2008),3.75,18,Crime|Drama|Romance|Thriller
21 Grams (2003),3.3,25,Crime|Drama|Mystery|Romance|Thriller
21 Jump Street (2012),3.8653846153846154,26,Action|Comedy|Crime
21 Up (1977),4.0,3,Documentary
